time_sec,timestamp,origin,destination,gtu_type,demand_veh_h
0,2025-09-26 00:00:00,N1_1,N5_3,CAR,216.0
0,2025-09-26 00:00:00,N1_1,N5_3,TRUCK,48.0
0,2025-09-26 00:00:00,N1_1,R6_8,CAR,60.0
0,2025-09-26 00:00:00,N1_1,R6_8,TRUCK,0.0
0,2025-09-26 00:00:00,R7_1,N5_3,CAR,60.0
0,2025-09-26 00:00:00,R7_1,N5_3,TRUCK,36.0
300,2025-09-26 00:05:00,N1_1,N5_3,CAR,228.0
300,2025-09-26 00:05:00,N1_1,N5_3,TRUCK,96.0
300,2025-09-26 00:05:00,N1_1,R6_8,CAR,12.0
300,2025-09-26 00:05:00,N1_1,R6_8,TRUCK,0.0
300,2025-09-26 00:05:00,R7_1,N5_3,CAR,0.0
300,2025-09-26 00:05:00,R7_1,N5_3,TRUCK,12.0
600,2025-09-26 00:10:00,N1_1,N5_3,CAR,204.0
600,2025-09-26 00:10:00,N1_1,N5_3,TRUCK,24.0
600,2025-09-26 00:10:00,N1_1,R6_8,CAR,24.0
600,2025-09-26 00:10:00,N1_1,R6_8,TRUCK,0.0
600,2025-09-26 00:10:00,R7_1,N5_3,CAR,36.0
600,2025-09-26 00:10:00,R7_1,N5_3,TRUCK,0.0
900,2025-09-26 00:15:00,N1_1,N5_3,CAR,264.0
900,2025-09-26 00:15:00,N1_1,N5_3,TRUCK,48.0
900,2025-09-26 00:15:00,N1_1,R6_8,CAR,72.0
900,2025-09-26 00:15:00,N1_1,R6_8,TRUCK,0.0
900,2025-09-26 00:15:00,R7_1,N5_3,CAR,48.0
900,2025-09-26 00:15:00,R7_1,N5_3,TRUCK,12.0
1200,2025-09-26 00:20:00,N1_1,N5_3,CAR,192.0
1200,2025-09-26 00:20:00,N1_1,N5_3,TRUCK,48.0
1200,2025-09-26 00:20:00,N1_1,R6_8,CAR,24.0
1200,2025-09-26 00:20:00,N1_1,R6_8,TRUCK,0.0
1200,2025-09-26 00:20:00,R7_1,N5_3,CAR,12.0
1200,2025-09-26 00:20:00,R7_1,N5_3,TRUCK,0.0
1500,2025-09-26 00:25:00,N1_1,N5_3,CAR,288.0
1500,2025-09-26 00:25:00,N1_1,N5_3,TRUCK,12.0
1500,2025-09-26 00:25:00,N1_1,R6_8,CAR,36.0
1500,2025-09-26 00:25:00,N1_1,R6_8,TRUCK,12.0
1500,2025-09-26 00:25:00,R7_1,N5_3,CAR,12.0
1500,2025-09-26 00:25:00,R7_1,N5_3,TRUCK,0.0
1800,2025-09-26 00:30:00,N1_1,N5_3,CAR,240.0
1800,2025-09-26 00:30:00,N1_1,N5_3,TRUCK,84.0
1800,2025-09-26 00:30:00,N1_1,R6_8,CAR,60.0
1800,2025-09-26 00:30:00,N1_1,R6_8,TRUCK,0.0
1800,2025-09-26 00:30:00,R7_1,N5_3,CAR,12.0
1800,2025-09-26 00:30:00,R7_1,N5_3,TRUCK,12.0
2100,2025-09-26 00:35:00,N1_1,N5_3,CAR,252.0
2100,2025-09-26 00:35:00,N1_1,N5_3,TRUCK,60.0
2100,2025-09-26 00:35:00,N1_1,R6_8,CAR,36.0
