time_sec,timestamp,origin,destination,gtu_type,demand_veh_h
0,2025-09-25 00:00:00,N1_1,N5_3,CAR,720.0
0,2025-09-25 00:00:00,N1_1,N5_3,TRUCK,60.0
0,2025-09-25 00:00:00,N1_1,R6_8,CAR,48.0
0,2025-09-25 00:00:00,N1_1,R6_8,TRUCK,0.0
0,2025-09-25 00:00:00,R7_1,N5_3,CAR,1032.0
0,2025-09-25 00:00:00,R7_1,N5_3,TRUCK,12.0
300,2025-09-25 00:05:00,N1_1,N5_3,CAR,492.0
300,2025-09-25 00:05:00,N1_1,N5_3,TRUCK,36.0
300,2025-09-25 00:05:00,N1_1,R6_8,CAR,24.0
300,2025-09-25 00:05:00,N1_1,R6_8,TRUCK,0.0
300,2025-09-25 00:05:00,R7_1,N5_3,CAR,1032.0
300,2025-09-25 00:05:00,R7_1,N5_3,TRUCK,24.0
600,2025-09-25 00:10:00,N1_1,N5_3,CAR,540.0
600,2025-09-25 00:10:00,N1_1,N5_3,TRUCK,72.0
600,2025-09-25 00:10:00,N1_1,R6_8,CAR,108.0
600,2025-09-25 00:10:00,N1_1,R6_8,TRUCK,0.0
600,2025-09-25 00:10:00,R7_1,N5_3,CAR,1116.0
600,2025-09-25 00:10:00,R7_1,N5_3,TRUCK,12.0
900,2025-09-25 00:15:00,N1_1,N5_3,CAR,672.0
900,2025-09-25 00:15:00,N1_1,N5_3,TRUCK,84.0
900,2025-09-25 00:15:00,N1_1,R6_8,CAR,48.0
900,2025-09-25 00:15:00,N1_1,R6_8,TRUCK,0.0
900,2025-09-25 00:15:00,R7_1,N5_3,CAR,840.0
900,2025-09-25 00:15:00,R7_1,N5_3,TRUCK,0.0
1200,2025-09-25 00:20:00,N1_1,N5_3,CAR,468.0
1200,2025-09-25 00:20:00,N1_1,N5_3,TRUCK,84.0
1200,2025-09-25 00:20:00,N1_1,R6_8,CAR,60.0
1200,2025-09-25 00:20:00,N1_1,R6_8,TRUCK,0.0
1200,2025-09-25 00:20:00,R7_1,N5_3,CAR,900.0
1200,2025-09-25 00:20:00,R7_1,N5_3,TRUCK,12.0
1500,2025-09-25 00:25:00,N1_1,N5_3,CAR,480.0
1500,2025-09-25 00:25:00,N1_1,N5_3,TRUCK,72.0
1500,2025-09-25 00:25:00,N1_1,R6_8,CAR,72.0
1500,2025-09-25 00:25:00,N1_1,R6_8,TRUCK,0.0
1500,2025-09-25 00:25:00,R7_1,N5_3,CAR,1008.0
1500,2025-09-25 00:25:00,R7_1,N5_3,TRUCK,0.0
1800,2025-09-25 00:30:00,N1_1,N5_3,CAR,372.0
1800,2025-09-25 00:30:00,N1_1,N5_3,TRUCK,96.0
1800,2025-09-25 00:30:00,N1_1,R6_8,CAR,60.0
1800,2025-09-25 00:30:00,N1_1,R6_8,TRUCK,0.0
1800,2025-09-25 00:30:00,R7_1,N5_3,CAR,600.0
1800,2025-09-25 00:30:00,R7_1,N5_3,TRUCK,0.0
2100,2025-09-25 00:35:00,N1_1,N5_3,CAR,564.0
2100,2025-09-25 00:35:00,N1_1,N5_3,TRUCK,120.0
2100,2025-09-25 00:35:00,N1_1,R6_8,CAR,24.0
2100,2025-09-25 00:35:00,N1_1,R6_8,TRUCK,0.0
2100,2025-09-25 00:35:00,R7_1,N5_3,CAR,396.0
2100,2025-09-25 00:35:00,R7_1,N5_3,TRUCK,12.0
2400,2025-09-25 00:40:00,N1_1,N5_3,CAR,324.0
2400,2025-09-25 00:40:00,N1_1,N5_3,TRUCK,48.0
2400,2025-09-25 00:40:00,N1_1,R6_8,CAR,84.0
2400,2025-09-25 00:40:00,N1_1,R6_8,TRUCK,0.0
2400,2025-09-25 00:40:00,R7_1,N5_3,CAR,144.0
2400,2025-09-25 00:40:00,R7_1,N5_3,TRUCK,0.0
2700,2025-09-25 00:45:00,N1_1,N5_3,CAR,180.0
2700,2025-09-25 00:45:00,N1_1,N5_3,TRUCK,72.0
2700,2025-09-25 00:45:00,N1_1,R6_8,CAR,24.0
2700,2025-09-25 00:45:00,N1_1,R6_8,TRUCK,0.0
2700,2025-09-25 00:45:00,R7_1,N5_3,CAR,108.0
2700,2025-09-25 00:45:00,R7_1,N5_3,TRUCK,12.0
3000,2025-09-25 00:50:00,N1_1,N5_3,CAR,252.0
3000,2025-09-25 00:50:00,N1_1,N5_3,TRUCK,48.0
3000,2025-09-25 00:50:00,N1_1,R6_8,CAR,48.0
3000,2025-09-25 00:50:00,N1_1,R6_8,TRUCK,24.0
3000,2025-09-25 00:50:00,R7_1,N5_3,CAR,132.0
3000,2025-09-25 00:50:00,R7_1,N5_3,TRUCK,0.0
3300,2025-09-25 00:55:00,N1_1,N5_3,CAR,264.0
3300,2025-09-25 00:55:00,N1_1,N5_3,TRUCK,60.0
3300,2025-09-25 00:55:00,N1_1,R6_8,CAR,48.0
3300,2025-09-25 00:55:00,N1_1,R6_8,TRUCK,0.0
3300,2025-09-25 00:55:00,R7_1,N5_3,CAR,84.0
3300,2025-09-25 00:55:00,R7_1,N5_3,TRUCK,0.0
3600,2025-09-25 01:00:00,N1_1,N5_3,CAR,204.0
3600,2025-09-25 01:00:00,N1_1,N5_3,TRUCK,36.0
3600,2025-09-25 01:00:00,N1_1,R6_8,CAR,24.0
3600,2025-09-25 01:00:00,N1_1,R6_8,TRUCK,0.0
3600,2025-09-25 01:00:00,R7_1,N5_3,CAR,72.0
3600,2025-09-25 01:00:00,R7_1,N5_3,TRUCK,0.0
3900,2025-09-25 01:05:00,N1_1,N5_3,CAR,180.0
3900,2025-09-25 01:05:00,N1_1,N5_3,TRUCK,48.0
3900,2025-09-25 01:05:00,N1_1,R6_8,CAR,24.0
3900,2025-09-25 01:05:00,N1_1,R6_8,TRUCK,0.0
3900,2025-09-25 01:05:00,R7_1,N5_3,CAR,60.0
3900,2025-09-25 01:05:00,R7_1,N5_3,TRUCK,0.0
4200,2025-09-25 01:10:00,N1_1,N5_3,CAR,144.0
4200,2025-09-25 01:10:00,N1_1,N5_3,TRUCK,96.0
4200,2025-09-25 01:10:00,N1_1,R6_8,CAR,24.0
4200,2025-09-25 01:10:00,N1_1,R6_8,TRUCK,0.0
4200,2025-09-25 01:10:00,R7_1,N5_3,CAR,84.0
4200,2025-09-25 01:10:00,R7_1,N5_3,TRUCK,12.0
4500,2025-09-25 01:15:00,N1_1,N5_3,CAR,132.0
4500,2025-09-25 01:15:00,N1_1,N5_3,TRUCK,24.0
4500,2025-09-25 01:15:00,N1_1,R6_8,CAR,24.0
4500,2025-09-25 01:15:00,N1_1,R6_8,TRUCK,0.0
4500,2025-09-25 01:15:00,R7_1,N5_3,CAR,72.0
4500,2025-09-25 01:15:00,R7_1,N5_3,TRUCK,0.0
4800,2025-09-25 01:20:00,N1_1,N5_3,CAR,108.0
4800,2025-09-25 01:20:00,N1_1,N5_3,TRUCK,48.0
4800,2025-09-25 01:20:00,N1_1,R6_8,CAR,36.0
4800,2025-09-25 01:20:00,N1_1,R6_8,TRUCK,0.0
4800,2025-09-25 01:20:00,R7_1,N5_3,CAR,36.0
4800,2025-09-25 01:20:00,R7_1,N5_3,TRUCK,0.0
5100,2025-09-25 01:25:00,N1_1,N5_3,CAR,96.0
5100,2025-09-25 01:25:00,N1_1,N5_3,TRUCK,60.0
5100,2025-09-25 01:25:00,N1_1,R6_8,CAR,48.0
5100,2025-09-25 01:25:00,N1_1,R6_8,TRUCK,0.0
5100,2025-09-25 01:25:00,R7_1,N5_3,CAR,48.0
5100,2025-09-25 01:25:00,R7_1,N5_3,TRUCK,24.0
5400,2025-09-25 01:30:00,N1_1,N5_3,CAR,84.0
5400,2025-09-25 01:30:00,N1_1,N5_3,TRUCK,96.0
5400,2025-09-25 01:30:00,N1_1,R6_8,CAR,24.0
5400,2025-09-25 01:30:00,N1_1,R6_8,TRUCK,0.0
5400,2025-09-25 01:30:00,R7_1,N5_3,CAR,60.0
5400,2025-09-25 01:30:00,R7_1,N5_3,TRUCK,12.0
5700,2025-09-25 01:35:00,N1_1,N5_3,CAR,84.0
5700,2025-09-25 01:35:00,N1_1,N5_3,TRUCK,84.0
5700,2025-09-25 01:35:00,N1_1,R6_8,CAR,0.0
5700,2025-09-25 01:35:00,N1_1,R6_8,TRUCK,0.0
5700,2025-09-25 01:35:00,R7_1,N5_3,CAR,12.0
5700,2025-09-25 01:35:00,R7_1,N5_3,TRUCK,0.0
6000,2025-09-25 01:40:00,N1_1,N5_3,CAR,144.0
6000,2025-09-25 01:40:00,N1_1,N5_3,TRUCK,72.0
6000,2025-09-25 01:40:00,N1_1,R6_8,CAR,0.0
6000,2025-09-25 01:40:00,N1_1,R6_8,TRUCK,0.0
6000,2025-09-25 01:40:00,R7_1,N5_3,CAR,0.0
6000,2025-09-25 01:40:00,R7_1,N5_3,TRUCK,0.0
6300,2025-09-25 01:45:00,N1_1,N5_3,CAR,108.0
6300,2025-09-25 01:45:00,N1_1,N5_3,TRUCK,60.0
6300,2025-09-25 01:45:00,N1_1,R6_8,CAR,0.0
6300,2025-09-25 01:45:00,N1_1,R6_8,TRUCK,0.0
6300,2025-09-25 01:45:00,R7_1,N5_3,CAR,24.0
6300,2025-09-25 01:45:00,R7_1,N5_3,TRUCK,24.0
6600,2025-09-25 01:50:00,N1_1,N5_3,CAR,168.0
6600,2025-09-25 01:50:00,N1_1,N5_3,TRUCK,48.0
6600,2025-09-25 01:50:00,N1_1,R6_8,CAR,48.0
6600,2025-09-25 01:50:00,N1_1,R6_8,TRUCK,0.0
6600,2025-09-25 01:50:00,R7_1,N5_3,CAR,0.0
6600,2025-09-25 01:50:00,R7_1,N5_3,TRUCK,0.0
6900,2025-09-25 01:55:00,N1_1,N5_3,CAR,96.0
6900,2025-09-25 01:55:00,N1_1,N5_3,TRUCK,36.0
6900,2025-09-25 01:55:00,N1_1,R6_8,CAR,0.0
6900,2025-09-25 01:55:00,N1_1,R6_8,TRUCK,0.0
6900,2025-09-25 01:55:00,R7_1,N5_3,CAR,24.0
6900,2025-09-25 01:55:00,R7_1,N5_3,TRUCK,0.0
7200,2025-09-25 02:00:00,N1_1,N5_3,CAR,108.0
7200,2025-09-25 02:00:00,N1_1,N5_3,TRUCK,48.0
7200,2025-09-25 02:00:00,N1_1,R6_8,CAR,12.0
7200,2025-09-25 02:00:00,N1_1,R6_8,TRUCK,0.0
7200,2025-09-25 02:00:00,R7_1,N5_3,CAR,12.0
7200,2025-09-25 02:00:00,R7_1,N5_3,TRUCK,12.0
7500,2025-09-25 02:05:00,N1_1,N5_3,CAR,120.0
7500,2025-09-25 02:05:00,N1_1,N5_3,TRUCK,48.0
7500,2025-09-25 02:05:00,N1_1,R6_8,CAR,0.0
