timestamp,time_sec,q_pkw_A_D,q_lkw_A_D,q_kfz_A_D,q_pkw_A_E,q_lkw_A_E,q_kfz_A_E,q_pkw_F_E,q_lkw_F_E,q_kfz_F_E
2025-10-08 00:00:00,0,48.0,0.0,48.0,132.0,96.0,228.0,0.0,0.0,0.0
2025-10-08 00:05:00,300,0.0,0.0,0.0,84.0,48.0,132.0,0.0,0.0,0.0
2025-10-08 00:10:00,600,12.0,0.0,12.0,132.0,84.0,216.0,24.0,0.0,24.0
2025-10-08 00:15:00,900,24.0,12.0,36.0,120.0,36.0,156.0,48.0,0.0,48.0
2025-10-08 00:20:00,1200,24.0,0.0,24.0,108.0,48.0,156.0,12.0,12.0,24.0
2025-10-08 00:25:00,1500,36.0,0.0,36.0,132.0,60.0,192.0,24.0,0.0,24.0
2025-10-08 00:30:00,1800,12.0,0.0,12.0,72.0,72.0,144.0,24.0,0.0,24.0
2025-10-08 00:35:00,2100,60.0,0.0,60.0,228.0,84.0,312.0,0.0,12.0,12.0
2025-10-08 00:40:00,2400,36.0,0.0,36.0,192.0,24.0,216.0,12.0,0.0,12.0
2025-10-08 00:45:00,2700,24.0,0.0,24.0,204.0,48.0,252.0,48.0,0.0,48.0
2025-10-08 00:50:00,3000,12.0,12.0,24.0,120.0,36.0,156.0,24.0,0.0,24.0
2025-10-08 00:55:00,3300,0.0,0.0,0.0,96.0,72.0,168.0,12.0,12.0,24.0
2025-10-08 01:00:00,3600,12.0,0.0,12.0,132.0,60.0,192.0,12.0,24.0,36.0
2025-10-08 01:05:00,3900,12.0,0.0,12.0,48.0,96.0,144.0,12.0,36.0,48.0
2025-10-08 01:10:00,4200,12.0,0.0,12.0,192.0,12.0,204.0,24.0,0.0,24.0
2025-10-08 01:15:00,4500,12.0,0.0,12.0,96.0,60.0,156.0,0.0,48.0,48.0
2025-10-08 01:20:00,4800,0.0,0.0,0.0,72.0,48.0,120.0,36.0,60.0,96.0
2025-10-08 01:25:00,5100,0.0,0.0,0.0,60.0,72.0,132.0,24.0,24.0,48.0
2025-10-08 01:30:00,5400,0.0,0.0,0.0,132.0,36.0,168.0,12.0,36.0,48.0
2025-10-08 01:35:00,5700,12.0,0.0,12.0,60.0,48.0,108.0,12.0,12.0,24.0
2025-10-08 01:40:00,6000,12.0,0.0,12.0,84.0,84.0,168.0,12.0,0.0,12.0
2025-10-08 01:45:00,6300,0.0,0.0,0.0,60.0,72.0,132.0,0.0,0.0,0.0
2025-10-08 01:50:00,6600,0.0,0.0,0.0,48.0,120.0,168.0,0.0,0.0,0.0
2025-10-08 01:55:00,6900,0.0,0.0,0.0,72.0,48.0,120.0,24.0,12.0,36.0
2025-10-08 02:00:00,7200,12.0,0.0,12.0,60.0,72.0,132.0,36.0,0.0,36.0
2025-10-08 02:05:00,7500,12.0,0.0,12.0,96.0,72.0,168.0,0.0,12.0,12.0
2025-10-08 02:10:00,7800,0.0,0.0,0.0,60.0,48.0,108.0,0.0,0.0,0.0
2025-10-08 02:15:00,8100,0.0,0.0,0.0,156.0,120.0,276.0,12.0,12.0,24.0
