time_sec,timestamp,origin,destination,gtu_type,demand_veh_h
0,2025-10-16 00:00:00,N1_1,N5_3,CAR,156.0
0,2025-10-16 00:00:00,N1_1,N5_3,TRUCK,84.0
0,2025-10-16 00:00:00,N1_1,R6_8,CAR,96.0
0,2025-10-16 00:00:00,N1_1,R6_8,TRUCK,0.0
0,2025-10-16 00:00:00,R7_1,N5_3,CAR,24.0
0,2025-10-16 00:00:00,R7_1,N5_3,TRUCK,0.0
300,2025-10-16 00:05:00,N1_1,N5_3,CAR,228.0
300,2025-10-16 00:05:00,N1_1,N5_3,TRUCK,24.0
300,2025-10-16 00:05:00,N1_1,R6_8,CAR,12.0
300,2025-10-16 00:05:00,N1_1,R6_8,TRUCK,0.0
300,2025-10-16 00:05:00,R7_1,N5_3,CAR,60.0
300,2025-10-16 00:05:00,R7_1,N5_3,TRUCK,0.0
600,2025-10-16 00:10:00,N1_1,N5_3,CAR,132.0
600,2025-10-16 00:10:00,N1_1,N5_3,TRUCK,48.0
600,2025-10-16 00:10:00,N1_1,R6_8,CAR,0.0
600,2025-10-16 00:10:00,N1_1,R6_8,TRUCK,0.0
600,2025-10-16 00:10:00,R7_1,N5_3,CAR,36.0
600,2025-10-16 00:10:00,R7_1,N5_3,TRUCK,0.0
900,2025-10-16 00:15:00,N1_1,N5_3,CAR,276.0
900,2025-10-16 00:15:00,N1_1,N5_3,TRUCK,60.0
900,2025-10-16 00:15:00,N1_1,R6_8,CAR,72.0
900,2025-10-16 00:15:00,N1_1,R6_8,TRUCK,0.0
900,2025-10-16 00:15:00,R7_1,N5_3,CAR,72.0
900,2025-10-16 00:15:00,R7_1,N5_3,TRUCK,12.0
1200,2025-10-16 00:20:00,N1_1,N5_3,CAR,168.0
1200,2025-10-16 00:20:00,N1_1,N5_3,TRUCK,36.0
1200,2025-10-16 00:20:00,N1_1,R6_8,CAR,48.0
1200,2025-10-16 00:20:00,N1_1,R6_8,TRUCK,12.0
1200,2025-10-16 00:20:00,R7_1,N5_3,CAR,24.0
1200,2025-10-16 00:20:00,R7_1,N5_3,TRUCK,12.0
1500,2025-10-16 00:25:00,N1_1,N5_3,CAR,228.0
1500,2025-10-16 00:25:00,N1_1,N5_3,TRUCK,24.0
1500,2025-10-16 00:25:00,N1_1,R6_8,CAR,36.0
1500,2025-10-16 00:25:00,N1_1,R6_8,TRUCK,0.0
1500,2025-10-16 00:25:00,R7_1,N5_3,CAR,48.0
1500,2025-10-16 00:25:00,R7_1,N5_3,TRUCK,0.0
1800,2025-10-16 00:30:00,N1_1,N5_3,CAR,132.0
1800,2025-10-16 00:30:00,N1_1,N5_3,TRUCK,60.0
1800,2025-10-16 00:30:00,N1_1,R6_8,CAR,36.0
1800,2025-10-16 00:30:00,N1_1,R6_8,TRUCK,12.0
1800,2025-10-16 00:30:00,R7_1,N5_3,CAR,48.0
1800,2025-10-16 00:30:00,R7_1,N5_3,TRUCK,0.0
2100,2025-10-16 00:35:00,N1_1,N5_3,CAR,192.0
2100,2025-10-16 00:35:00,N1_1,N5_3,TRUCK,48.0
2100,2025-10-16 00:35:00,N1_1,R6_8,CAR,12.0
2100,2025-10-16 00:35:00,N1_1,R6_8,TRUCK,12.0
2100,2025-10-16 00:35:00,R7_1,N5_3,CAR,36.0
2100,2025-10-16 00:35:00,R7_1,N5_3,TRUCK,0.0
2400,2025-10-16 00:40:00,N1_1,N5_3,CAR,180.0
2400,2025-10-16 00:40:00,N1_1,N5_3,TRUCK,36.0
2400,2025-10-16 00:40:00,N1_1,R6_8,CAR,12.0
2400,2025-10-16 00:40:00,N1_1,R6_8,TRUCK,0.0
2400,2025-10-16 00:40:00,R7_1,N5_3,CAR,12.0
2400,2025-10-16 00:40:00,R7_1,N5_3,TRUCK,0.0
2700,2025-10-16 00:45:00,N1_1,N5_3,CAR,108.0
2700,2025-10-16 00:45:00,N1_1,N5_3,TRUCK,48.0
2700,2025-10-16 00:45:00,N1_1,R6_8,CAR,12.0
2700,2025-10-16 00:45:00,N1_1,R6_8,TRUCK,0.0
2700,2025-10-16 00:45:00,R7_1,N5_3,CAR,12.0
2700,2025-10-16 00:45:00,R7_1,N5_3,TRUCK,12.0
3000,2025-10-16 00:50:00,N1_1,N5_3,CAR,108.0
3000,2025-10-16 00:50:00,N1_1,N5_3,TRUCK,84.0
3000,2025-10-16 00:50:00,N1_1,R6_8,CAR,36.0
3000,2025-10-16 00:50:00,N1_1,R6_8,TRUCK,12.0
3000,2025-10-16 00:50:00,R7_1,N5_3,CAR,12.0
3000,2025-10-16 00:50:00,R7_1,N5_3,TRUCK,0.0
3300,2025-10-16 00:55:00,N1_1,N5_3,CAR,72.0
3300,2025-10-16 00:55:00,N1_1,N5_3,TRUCK,60.0
3300,2025-10-16 00:55:00,N1_1,R6_8,CAR,12.0
3300,2025-10-16 00:55:00,N1_1,R6_8,TRUCK,0.0
3300,2025-10-16 00:55:00,R7_1,N5_3,CAR,24.0
3300,2025-10-16 00:55:00,R7_1,N5_3,TRUCK,0.0
3600,2025-10-16 01:00:00,N1_1,N5_3,CAR,192.0
3600,2025-10-16 01:00:00,N1_1,N5_3,TRUCK,84.0
3600,2025-10-16 01:00:00,N1_1,R6_8,CAR,36.0
3600,2025-10-16 01:00:00,N1_1,R6_8,TRUCK,0.0
3600,2025-10-16 01:00:00,R7_1,N5_3,CAR,12.0
3600,2025-10-16 01:00:00,R7_1,N5_3,TRUCK,0.0
3900,2025-10-16 01:05:00,N1_1,N5_3,CAR,72.0
3900,2025-10-16 01:05:00,N1_1,N5_3,TRUCK,36.0
3900,2025-10-16 01:05:00,N1_1,R6_8,CAR,12.0
3900,2025-10-16 01:05:00,N1_1,R6_8,TRUCK,0.0
3900,2025-10-16 01:05:00,R7_1,N5_3,CAR,12.0
3900,2025-10-16 01:05:00,R7_1,N5_3,TRUCK,0.0
4200,2025-10-16 01:10:00,N1_1,N5_3,CAR,120.0
4200,2025-10-16 01:10:00,N1_1,N5_3,TRUCK,72.0
4200,2025-10-16 01:10:00,N1_1,R6_8,CAR,12.0
4200,2025-10-16 01:10:00,N1_1,R6_8,TRUCK,0.0
4200,2025-10-16 01:10:00,R7_1,N5_3,CAR,0.0
